,Pais,Anio,Emisiones_de_CO2
459,Uruguay,1999,6.4
460,Uruguay,2000,7.239235198
461,Uruguay,2001,6.478470396
462,Uruguay,2002,4.980301899
463,Uruguay,2003,5.342463531
464,Uruguay,2004,5.521395551
465,Uruguay,2005,6.039373807
466,Uruguay,2006,6.281632794
467,Uruguay,2007,7.340428368
468,Uruguay,2008,6.508653095
469,Uruguay,2009,8.040470671
470,Uruguay,2010,9.082078429
471,Uruguay,2011,8.158376624
472,Uruguay,2012,9.162558411
473,Uruguay,2013,9.813243621
474,Uruguay,2014,8.494611416
475,Uruguay,2015,7.500800101
476,Uruguay,2016,8.072587193
477,Uruguay,2017,7.914768354
478,Uruguay,2018,6.936088697
479,Uruguay,2019,7.311541742
480,Barbados,1988,1.222220132
481,Barbados,1989,1.149995297
482,Barbados,1990,1.25555033
483,Barbados,1991,1.266699837
484,Barbados,1992,1.364738077
485,Barbados,1993,1.394164475
486,Barbados,1994,1.392202715
487,Barbados,1995,1.290240956
488,Barbados,1996,1.392202715
489,Barbados,1997,1.088279196
490,Barbados,1998,1.484355676
491,Barbados,1999,1.472585116
492,Barbados,2000,1.592202715
493,Barbados,2001,1.674374634
494,Barbados,2002,1.662776317
495,Barbados,2003,1.656891037
496,Barbados,2004,1.656891037
497,Barbados,2005,1.158852797
498,Barbados,2006,1.551695148
499,Barbados,2007,1.45270089
500,Barbados,2008,1.409851156
501,Barbados,2009,1.43339064
502,Barbados,2010,1.532032888
503,Barbados,2011,1.431680878
504,Barbados,2012,1.926933182
505,Barbados,2013,1.810688761
506,Barbados,2014,1.852327062
507,Barbados,2015,1.609840058
508,Barbados,2016,1.711547679
509,Barbados,2017,1.73882031
510,Barbados,2018,1.593928257
511,Barbados,2019,1.702104465
512,Colombia,1988,41.741466211
513,Colombia,1989,43.302720807
514,Colombia,1990,45.545017981
515,Colombia,1991,45.64321413
516,Colombia,1992,45.627835323
517,Colombia,1993,49.94907226
518,Colombia,1994,51.46905755
519,Colombia,1995,51.650999973
520,Colombia,1996,49.859156542
521,Colombia,1997,50.028284209
522,Colombia,1998,54.919082526
523,Colombia,1999,54.493185478
524,Colombia,2000,49.087333481
525,Colombia,2001,49.326557993
526,Colombia,2002,49.305265071
527,Colombia,2003,48.644347855
528,Colombia,2004,47.68506091
529,Colombia,2005,47.774658007
530,Colombia,2006,47.331514297
531,Colombia,2007,49.335075092
532,Colombia,2008,48.877657404
533,Colombia,2009,46.742661536
534,Colombia,2010,51.367881395
535,Colombia,2011,50.91967204
536,Colombia,2012,58.775110568
537,Colombia,2013,63.822093945
538,Colombia,2014,68.159642685
539,Colombia,2015,75.735832204
540,Colombia,2016,75.285248861
541,Colombia,2017,78.012255536
542,Colombia,2018,70.05042621
543,Colombia,2019,75.94596771
544,Dominica,1988,0.04337
545,Dominica,1989,0.05548
546,Dominica,1990,0.05862
547,Dominica,1991,0.05852
548,Dominica,1992,0.05845
549,Dominica,1993,0.05909
550,Dominica,1994,0.06224
551,Dominica,1995,0.07183
552,Dominica,1996,0.08101
553,Dominica,1997,0.08119
554,Dominica,1998,0.08116
555,Dominica,1999,0.0843
556,Dominica,2000,0.0843
557,Dominica,2001,0.07958
558,Dominica,2002,0.1
559,Dominica,2003,0.1
560,Dominica,2004,0.1
561,Dominica,2005,0.1
562,Dominica,2006,0.0924
563,Dominica,2007,0.1
564,Dominica,2008,0.121246436
565,Dominica,2009,0.1
566,Dominica,2010,0.1
567,Dominica,2011,0.1
568,Dominica,2012,0.170095617
569,Dominica,2013,0.169940463
570,Dominica,2014,0.161291994
571,Dominica,2015,0.171749852
572,Dominica,2016,0.18743
573,Dominica,2017,0.18855
574,Dominica,2018,0.177435879
575,Dominica,2019,0.185983702
576,Honduras,1988,1.7
577,Honduras,1989,2.0
578,Honduras,1990,2.4
579,Honduras,1991,2.7
580,Honduras,1992,2.701748706
581,Honduras,1993,2.701471668
582,Honduras,1994,2.70235723
583,Honduras,1995,3.002171336
584,Honduras,1996,3.502101996
585,Honduras,1997,3.901707881
586,Honduras,1998,3.801451851
587,Honduras,1999,4.401702564
588,Honduras,2000,4.602306482
589,Honduras,2001,4.30069054
590,Honduras,2002,5.000130689
591,Honduras,2003,5.601700855
592,Honduras,2004,5.601127262
593,Honduras,2005,6.601806139
594,Honduras,2006,6.802419937
595,Honduras,2007,7.103156316
596,Honduras,2008,7.982011697
597,Honduras,2009,7.502093293
598,Honduras,2010,6.801607093
599,Honduras,2011,7.101902568
600,Honduras,2012,7.318436899
601,Honduras,2013,7.919687359
602,Honduras,2014,8.00179408
603,Honduras,2015,8.652434922
604,Honduras,2016,9.323582375
605,Honduras,2017,8.780763575
606,Honduras,2018,8.765265695
607,Honduras,2019,10.050869894
608,Paraguay,1988,1.9
609,Paraguay,1989,1.7
610,Paraguay,1990,2.3
611,Paraguay,1991,2.2
612,Paraguay,1992,2.0
613,Paraguay,1993,2.3
614,Paraguay,1994,2.5
615,Paraguay,1995,2.9
616,Paraguay,1996,3.3
617,Paraguay,1997,2.7
618,Paraguay,1998,3.0
619,Paraguay,1999,3.4
620,Paraguay,2000,3.8
621,Paraguay,2001,3.6
622,Paraguay,2002,3.5
623,Paraguay,2003,3.6
624,Paraguay,2004,3.7
625,Paraguay,2005,3.8
626,Paraguay,2006,3.700419341
627,Paraguay,2007,3.700061157
628,Paraguay,2008,3.752651172
629,Paraguay,2009,3.800252837
630,Paraguay,2010,4.100003081
631,Paraguay,2011,4.500099378
632,Paraguay,2012,4.854154389
633,Paraguay,2013,5.175485748
634,Paraguay,2014,5.070818482
635,Paraguay,2015,5.328025571
636,Paraguay,2016,6.592852194
637,Paraguay,2017,7.657524903
638,Paraguay,2018,7.957430309
639,Paraguay,2019,8.338166715
640,Surinam,1988,1.2
641,Surinam,1989,1.1
642,Surinam,1990,1.2
643,Surinam,1991,1.5
644,Surinam,1992,1.5
645,Surinam,1993,1.4
646,Surinam,1994,1.5
647,Surinam,1995,1.5
648,Surinam,1996,1.5
649,Surinam,1997,1.5
650,Surinam,1998,1.5
651,Surinam,1999,1.5
652,Surinam,2000,1.5
