Anio,Pais,Emisiones_de_CO2
2005,Barbados,1.158852797
2006,Barbados,1.551695148
2007,Barbados,1.45270089
2008,Barbados,1.409851156
2009,Barbados,1.43339064
2010,Barbados,1.532032888
2011,Barbados,1.431680878
2012,Barbados,1.926933182
2013,Barbados,1.810688761
2014,Barbados,1.852327062
2015,Barbados,1.609840058
2016,Barbados,1.711547679
2017,Barbados,1.73882031
2018,Barbados,1.593928257
2019,Barbados,1.702104465
1981,Barbados,0.970850132
1982,Barbados,1.022220132
1983,Barbados,1.022220132
1984,Barbados,1.122220132
1985,Barbados,1.022220132
1986,Barbados,1.122220132
1987,Barbados,1.322220132
1980,Barbados,-1.0
1988,Colombia,41.741466211
1989,Colombia,43.302720807
1990,Colombia,45.545017981
1991,Colombia,45.64321413
1992,Colombia,45.627835323
1993,Colombia,49.94907226
1994,Colombia,51.46905755
1995,Colombia,51.650999973
1996,Colombia,49.859156542
1997,Colombia,50.028284209
1998,Colombia,54.919082526
1999,Colombia,54.493185478
2000,Colombia,49.087333481
2001,Colombia,49.326557993
2002,Colombia,49.305265071
2003,Colombia,48.644347855
2004,Colombia,47.68506091
2005,Colombia,47.774658007
2006,Colombia,47.331514297
2007,Colombia,49.335075092
2008,Colombia,48.877657404
2009,Colombia,46.742661536
2010,Colombia,51.367881395
2011,Colombia,50.91967204
2012,Colombia,58.775110568
2013,Colombia,63.822093945
2014,Colombia,68.159642685
2015,Colombia,75.735832204
2016,Colombia,75.285248861
2017,Colombia,78.012255536
2018,Colombia,70.05042621
2019,Colombia,75.94596771
1981,Colombia,35.776157788
1982,Colombia,36.664233466
1983,Colombia,36.996154552
1984,Colombia,37.508295222
1985,Colombia,40.673898405
1986,Colombia,41.335262269
1987,Colombia,41.786472429
1980,Colombia,-1.0
1988,Dominica,0.04337
1989,Dominica,0.05548
1990,Dominica,0.05862
1991,Dominica,0.05852
1992,Dominica,0.05845
1993,Dominica,0.05909
1994,Dominica,0.06224
1995,Dominica,0.07183
1996,Dominica,0.08101
1997,Dominica,0.08119
1998,Dominica,0.08116
1999,Dominica,0.0843
2000,Dominica,0.0843
2001,Dominica,0.07958
2006,Dominica,0.0924
2008,Dominica,0.121246436
2012,Dominica,0.170095617
2013,Dominica,0.169940463
2014,Dominica,0.161291994
2015,Dominica,0.171749852
2016,Dominica,0.18743
2017,Dominica,0.18855
2018,Dominica,0.177435879
2019,Dominica,0.185983702
1981,Dominica,0.02679
1982,Dominica,0.03498
1983,Dominica,0.03502
1984,Dominica,0.03498
1985,Dominica,0.03501
1986,Dominica,0.03991
1987,Dominica,0.04022
1980,Dominica,-1.0
2002,Dominica,0.1
2003,Dominica,0.1
2004,Dominica,0.1
2005,Dominica,0.1
2007,Dominica,0.1
2009,Dominica,0.1
2010,Dominica,0.1
2011,Dominica,0.1
1990,Honduras,2.4
1991,Honduras,2.7
1992,Honduras,2.701748706
1993,Honduras,2.701471668
1994,Honduras,2.70235723
1995,Honduras,3.002171336
1996,Honduras,3.502101996
1997,Honduras,3.901707881
1998,Honduras,3.801451851
1999,Honduras,4.401702564
2000,Honduras,4.602306482
2001,Honduras,4.30069054
2002,Honduras,5.000130689
2003,Honduras,5.601700855
2004,Honduras,5.601127262
2005,Honduras,6.601806139
2006,Honduras,6.802419937
2007,Honduras,7.103156316
2008,Honduras,7.982011697
2009,Honduras,7.502093293
2010,Honduras,6.801607093
2011,Honduras,7.101902568
2012,Honduras,7.318436899
2013,Honduras,7.919687359
2014,Honduras,8.00179408
2015,Honduras,8.652434922
2016,Honduras,9.323582375
2017,Honduras,8.780763575
2018,Honduras,8.765265695
2019,Honduras,10.050869894
1981,Honduras,1.69779
1989,Honduras,2.0
1980,Honduras,-1.0
1982,Honduras,1.5
1983,Honduras,1.5
1988,Honduras,1.7
1985,Honduras,1.7
1987,Honduras,1.7
1984,Honduras,1.6
1986,Honduras,1.6
1990,Paraguay,2.3
1991,Paraguay,2.2
1993,Paraguay,2.3
1994,Paraguay,2.5
1995,Paraguay,2.9
1996,Paraguay,3.3
1997,Paraguay,2.7
1998,Paraguay,3.0
1999,Paraguay,3.4
2000,Paraguay,3.8
2002,Paraguay,3.5
2004,Paraguay,3.7
2005,Paraguay,3.8
2006,Paraguay,3.700419341
2007,Paraguay,3.700061157
2008,Paraguay,3.752651172
2009,Paraguay,3.800252837
2010,Paraguay,4.100003081
2011,Paraguay,4.500099378
2012,Paraguay,4.854154389
2013,Paraguay,5.175485748
2014,Paraguay,5.070818482
2015,Paraguay,5.328025571
2016,Paraguay,6.592852194
2017,Paraguay,7.657524903
2018,Paraguay,7.957430309
2019,Paraguay,8.338166715
1981,Paraguay,1.386
1982,Paraguay,1.3
1984,Paraguay,1.3
1985,Paraguay,1.4
1992,Paraguay,2.0
1980,Paraguay,-1.0
1986,Paraguay,1.5
1987,Paraguay,1.5
1983,Paraguay,1.2
1989,Paraguay,1.7
1988,Paraguay,1.9
2001,Paraguay,3.6
2003,Paraguay,3.6
1981,Argentina,93.02991395
1982,Argentina,90.736786366
1983,Argentina,93.950122066
1984,Argentina,94.251595681
1985,Argentina,98.3154848
1986,Argentina,92.07706013
1987,Argentina,104.423396088
1988,Argentina,105.510430365
1989,Argentina,108.456624636
1990,Argentina,107.366089785
1991,Argentina,99.378868848
1992,Argentina,104.194766287
1993,Argentina,105.550799495
1994,Argentina,115.861464739
1995,Argentina,112.113003975
1996,Argentina,115.12491699
1997,Argentina,123.061078645
1998,Argentina,125.789623885
1999,Argentina,133.648446173
2000,Argentina,139.373299261
2001,Argentina,137.719422129
2002,Argentina,127.29822538
2003,Argentina,119.221962694
2004,Argentina,133.003494925
2005,Argentina,140.36175665
2006,Argentina,151.993641709
2007,Argentina,156.319849034
2008,Argentina,157.872228733
2009,Argentina,169.176780166
2010,Argentina,168.427120196
2011,Argentina,186.427005161
2012,Argentina,190.293575528
2013,Argentina,195.564808595
2014,Argentina,196.689236739
2015,Argentina,197.325871069
2016,Argentina,214.14898796
2017,Argentina,214.123012963
2018,Argentina,195.140106755
2019,Argentina,191.358658271
1980,Argentina,-1.0
1988,Guatemala,3.2
1989,Guatemala,3.5
1991,Guatemala,3.8
1993,Guatemala,4.4
1994,Guatemala,4.8
1995,Guatemala,5.4
1996,Guatemala,6.1
1997,Guatemala,6.3
1998,Guatemala,7.0
1999,Guatemala,8.664932537
2000,Guatemala,9.053974281
2001,Guatemala,9.116769656
2002,Guatemala,10.130340207
2003,Guatemala,10.220418465
2004,Guatemala,10.264960244
2005,Guatemala,10.797982942
2006,Guatemala,10.962042899
2007,Guatemala,11.011491916
2008,Guatemala,11.473275403
2009,Guatemala,10.965911546
2010,Guatemala,11.71404284
2011,Guatemala,10.771896076
2012,Guatemala,11.04204759
2013,Guatemala,11.563156368
2014,Guatemala,12.382497279
2015,Guatemala,13.073134025
2016,Guatemala,15.783469705
2017,Guatemala,17.072559529
2018,Guatemala,18.643463431
2019,Guatemala,19.708437412
1981,Guatemala,4.09952
1983,Guatemala,3.5
1984,Guatemala,3.7
1985,Guatemala,3.2
1987,Guatemala,3.2
1980,Guatemala,-1.0
1990,Guatemala,3.6
1992,Guatemala,3.6
1982,Guatemala,3.6
1986,Guatemala,3.6
1990,Nicaragua,2.1
1993,Nicaragua,2.3
1994,Nicaragua,2.3
1995,Nicaragua,2.5
1996,Nicaragua,2.8
1997,Nicaragua,2.9
1998,Nicaragua,3.0
1999,Nicaragua,3.5
2000,Nicaragua,3.7
2001,Nicaragua,3.7
2002,Nicaragua,3.9
2003,Nicaragua,3.9
2004,Nicaragua,4.0
2005,Nicaragua,4.2
2006,Nicaragua,4.4
2007,Nicaragua,4.5
2008,Nicaragua,4.010307626
2009,Nicaragua,4.3
2010,Nicaragua,4.3
2011,Nicaragua,4.3
2012,Nicaragua,4.701077745
2013,Nicaragua,4.447179692
2014,Nicaragua,4.437450817
2015,Nicaragua,4.642415474
2016,Nicaragua,5.254183
2017,Nicaragua,5.249562
2018,Nicaragua,5.181649
2019,Nicaragua,5.027809
1981,Nicaragua,1.84261
1987,Nicaragua,2.1
1988,Nicaragua,2.1
1989,Nicaragua,2.1
1991,Nicaragua,2.0
1986,Nicaragua,2.0
1980,Nicaragua,-1.0
1985,Nicaragua,1.7
1992,Nicaragua,1.9
1982,Nicaragua,1.9
1983,Nicaragua,1.9
1984,Nicaragua,1.8
1981,Venezuela,89.497709324
1982,Venezuela,97.846679788
1983,Venezuela,98.298687989
1984,Venezuela,93.00388602
1985,Venezuela,92.164409377
1986,Venezuela,93.914972066
1987,Venezuela,99.502339433
1988,Venezuela,98.367994409
1989,Venezuela,96.210895976
1990,Venezuela,102.199478759
1991,Venezuela,102.537749285
1992,Venezuela,104.587294147
1993,Venezuela,104.659830791
1994,Venezuela,106.941333575
1995,Venezuela,112.921776897
1996,Venezuela,117.864721091
1997,Venezuela,120.308310129
1998,Venezuela,122.370133384
1999,Venezuela,129.527653923
2000,Venezuela,121.08094275
2001,Venezuela,125.170102899
2002,Venezuela,142.220115968
2003,Venezuela,137.770528363
2004,Venezuela,127.788778567
2005,Venezuela,135.034954629
2006,Venezuela,131.626708227
2007,Venezuela,143.496808587
2008,Venezuela,126.554786165
2009,Venezuela,139.662634834
2010,Venezuela,135.589171231
2011,Venezuela,142.156846662
2012,Venezuela,137.508847285
2013,Venezuela,156.134440582
2014,Venezuela,144.56582394
2015,Venezuela,148.247173844
2016,Venezuela,146.123679031
2017,Venezuela,143.667236706
2018,Venezuela,140.438683495
2019,Venezuela,131.48505504
1980,Venezuela,-1.0
1988,Costa Rica,2.25831189
1989,Costa Rica,2.675007334
1990,Costa Rica,2.809970872
1991,Costa Rica,2.6910752
1992,Costa Rica,2.837850293
1993,Costa Rica,3.577531496
1994,Costa Rica,3.935262231
1995,Costa Rica,3.99881247
1996,Costa Rica,4.592665809
1997,Costa Rica,4.341123246
1998,Costa Rica,4.46571689
1999,Costa Rica,5.040783086
2000,Costa Rica,5.509769834
2001,Costa Rica,5.39223863
2002,Costa Rica,5.410743689
2003,Costa Rica,5.527630933
2004,Costa Rica,5.782608692
2005,Costa Rica,5.508260661
2006,Costa Rica,6.271136458
2007,Costa Rica,6.657303239
2008,Costa Rica,7.224134156
2009,Costa Rica,7.146471665
2010,Costa Rica,6.744327837
2011,Costa Rica,6.963164541
2012,Costa Rica,7.081357023
2013,Costa Rica,7.032514542
2014,Costa Rica,7.316109902
2015,Costa Rica,7.457260329
2016,Costa Rica,7.143281669
2017,Costa Rica,7.722970236
2018,Costa Rica,7.896010313
2019,Costa Rica,7.923880021
1981,Costa Rica,2.340974967
1982,Costa Rica,2.334578861
1983,Costa Rica,2.188667682
1984,Costa Rica,2.334578861
1985,Costa Rica,2.048353096
1986,Costa Rica,2.188667682
1987,Costa Rica,1.969800914
1980,Costa Rica,-1.0
1988,El Salvador,2.2
1989,El Salvador,2.3
1990,El Salvador,2.2
1991,El Salvador,2.4
1992,El Salvador,2.8
1993,El Salvador,3.2
1994,El Salvador,3.200951219
1995,El Salvador,3.601660938
1996,El Salvador,4.601700101
1997,El Salvador,4.401816025
1998,El Salvador,4.701880016
1999,El Salvador,5.50208359
2000,El Salvador,5.502481469
2001,El Salvador,5.502747176
2002,El Salvador,5.701780641
2003,El Salvador,5.801585356
2004,El Salvador,6.102593671
2005,El Salvador,6.002325113
2006,El Salvador,6.203891502
2007,El Salvador,6.203199521
2008,El Salvador,6.203393617
2009,El Salvador,5.902812237
2010,El Salvador,5.902209599
2011,El Salvador,5.901772573
2012,El Salvador,6.402612648
2013,El Salvador,6.558956165
2014,El Salvador,6.269219854
2015,El Salvador,6.442372513
2016,El Salvador,6.887408021
2017,El Salvador,6.928914066
2018,El Salvador,6.312351521
2019,El Salvador,7.04650887
1981,El Salvador,1.98901
1987,El Salvador,2.2
1980,El Salvador,-1.0
1982,El Salvador,1.7
