Pais,Anio,Emisiones_de_CO2,Consumo_energia,Produccion_energia,PBI,Poblacion,Intencidad_per_capita,Intensidad_por_PBI
Jamaica,2007,13.080823043,0.18217635389745021,0.0088137735,26.3245,2768.23,65.809688464271474,6.9204107921309133
Jamaica,2008,13.290925924,0.15492934436669384,0.0108883032,26.1109,2781.87,55.692517754853334,5.9335122254190331
Jamaica,2009,12.121234565,0.12180691236540978,0.00217648,24.9762,2795.84,43.567197109065532,4.8769193218107549
Jamaica,2010,9.328811725,0.11190540541580342,0.002175588,24.6123,2810.46,39.817469530184887,4.5467268567262478
Jamaica,2011,8.116183125,0.11855655478421451,0.002613604,25.0382,2825.93,41.953110934883206,4.7350270700056116
Jamaica,2012,8.534185784,0.11106599985898413,0.002702544,24.8845,2842.13,39.078437601019004,4.46326025674553
Jamaica,2013,7.989962436,0.12082152838306809,0.00248066,25.0134,2858.71,42.264352936488166,4.8302721094720464
Jamaica,2014,8.810052361,0.11902174967815388,0.00272937,25.1859,2875.14,41.396853606486594,4.7257294628404729
Jamaica,2015,8.637067431,0.12272705608492927,0.002637277,25.418,2891.02,42.451126621375593,4.8283521947017576
Jamaica,2016,8.539995644,0.12700453791753682,0.005304444719016,25.7676,2906.24,43.700636532955578,4.9288462222922131
Jamaica,2017,8.912641454,0.11475371064128927,0.00469863,26.0245,2920.85,39.28777946189954,4.4094491975365235
Jamaica,2018,7.747071984,0.11832770067070679,0.004952576,26.5163,2934.29,40.325837143127231,4.4624514231135866
Jamaica,2019,8.071670366,0.14650051108928164,0.004443096,26.7529,2947.72,49.699602095613443,5.4760609537389087
Uruguay,1988,4.0,0.1198939098,0.055377936,34.3393,3068.71,39.06980776938844,3.49144885888763
Uruguay,1989,4.7,0.104472363273,0.040277952,34.7184,3088.6,33.825151613352325,3.009135307877091
Uruguay,1990,4.9,0.134544582,0.072782794,34.8216,3109.6,43.26748842294829,3.863825384244262
Uruguay,1991,4.5,0.119411074,0.063743088,36.0539,3131.66,38.130280426355348,3.312015454638749
Uruguay,1992,4.2,0.1378190568,0.081784536,38.9135,3154.46,43.69022171782175,3.5416772276973285
Uruguay,1993,4.5,0.14093882,0.075090756,39.9477,3177.73,44.352043754504,3.5280834691358951
